Action taken,Cause,"City, County",Emissions estimation method,Event began,Event ended,Physical location,Regulated entity RN number,Regulated entity name,This is based on the,Type(s) of air emissions event,report_id
"Operations personnel responded as quickly as possible to address the issue and minimize potential impacts. Feed rate to AVU-146 was initially reduced to lower the leak rate into the cooling water; then, the exchangers were taken offline completely. The incident ceased at 6/20/2016 11:07 AM when emissions based on El Paso sample results dropped below NSR permit limits.","At Crude Unit 146 (AVU-146), a leak developed in the Atmospheric Tower Overhead Exchangers (E-102A and D), resulting in excess cooling tower emissions.","PORT ARTHUR, JEFFERSON","Engineering estimates, process knowledge, and El Paso sampling.",06/14/2016 1:30PM,06/20/2016 10:37AM,"1801 S GULFWAY DR, PORT ARTHUR, TX",RN102584026,VALERO PORT ARTHUR REFINERY,FINAL REPORT,EMISSIONS EVENT,235693
The facility took immediate corrective actions and stopped the loss of containment.,The Port Arthur Refinery experienced a loss of primary containment to the ground due to a failure on an overhead pipeline. The event was initially reported as a spill within 24 hours according to the requirements of 30 TAC 327.3.,"PORT ARTHUR, JEFFERSON",Engineering Estimates.,06/05/2016 7:30AM,06/06/2016 7:30AM,,RN100209451,PORT ARTHUR REFINERY,FINAL REPORT,EMISSIONS EVENT,235751
"Alarm was sounded, stopped leak, and decontaminated area.","Loose fitting on chlorine cylinder. To satisfy the demonstration requirements of 30TAC 101.222(b), FPC-TX provides the following. (1)The owner or operator complied with the requirements of §101.201 of this title (relating to Emissions Event Reporting and Recordkeeping Requirements). (2) The unauthorized emissions were caused by a sudden, unavoidable breakdown of equipment or process, beyond the control of the owner or operator. (3)FPC-TX contends that the emission event could not have been foreseen and avoided or planned for, and could not have been avoided by better operation and maintenance practices or technically feasible design consistent with good engineering practice. (4)Air pollution control equipment was maintained and operated in a manner consistent with good practice for minimizing emissions and reducing the number of emissions events. (5)Prompt action was taken to achieve compliance once the operator knew or should have known that applicable emission limitations were being exceeded, and any necessary repairs were made as expeditiously as practicable. (6) FPC-TX took all possible steps to minimize the amount and duration of the unauthorized emissions. There were no bypasses of pollution control equipment. (7)All emission monitoring systems were kept in operation. (8)FPC-TX actions in response to the unauthorized emissions were documented by contemporaneous operation logs or other relevant evidence. (9)The unauthorized emissions were not part of a frequent or recurring pattern indicative of inadequate design, operation, or maintenance. (10)The percentage of a facility's total annual operating hours during which unauthorized emissions occurred was not unreasonably high. (11)The unauthorized emissions did not cause or contribute to an exceedance of the national ambient air quality standards (NAAQS), prevention of significant deterioration (PSD) increments, or to a condition of air pollution.","POINT COMFORT, CALHOUN",Engineering Calculations.,06/15/2016 6:30AM,06/15/2016 6:15PM,PLANT LOCATED NE OF INTX OF FM 1593 AND HWY 35,RN100218973,FORMOSA POINT COMFORT PLANT,FINAL REPORT,EMISSIONS EVENT,235816
The facility took immediate action to stop the loss of containment and minimize emissions.,"After further review, the Motiva Port Arthur Refinery determined that the emissions from this event were below a reportable quantity. As a result, this event is identified as non-reportable.","PORT ARTHUR, JEFFERSON",Engineering estimates.,06/16/2016 7:45AM,06/16/2016 2:15PM,,RN100209451,PORT ARTHUR REFINERY,FINAL REPORT,EMISSIONS EVENT,235841
"Excess off-gas was consumed where possible in the refinery and the fuel gas system was rebalanced as quickly as possible. These conditions were maintained while the fuel gas knock-out drum was taken out of service to allow for removal of the piping restriction. Once completed, the fuel gas knock-out drum was returned to service and the fuel gas system was returned to the normal operating configuration.","A fuel gas knock-out drum (87-V-01) developed a restriction in the outlet piping preventing refinery off-gas to be directed to an off-site gas processing facility. As a result, it became necessary to bypass the fuel gas knock-out drum and vent excess off-gas to the Main Flare and Ground Flare.","CORPUS CHRISTI, NUECES",Engineering estimate based on measured flows and compositions.,06/17/2016 11:20AM,06/17/2016 4:15PM,5900 UP RIVER RD,RN100214386,VALERO CORPUS CHRISTI REFINERY WEST PLANT,FINAL REPORT,EMISSIONS EVENT,235893
"The operator tried to reduce the air flow by cutting back on the inlet guide vanes, but flow and amps continued to increase. The operator tried to take control of guide vanes at the local panel, but amps continued to increase until the blower tripped. Unit 835 shut down, and was restarted.","Total Port Arthur Refinery is equipped with a flare gas recovery unit (FGRU) that serves to reduce flaring emissions. Due to a malfunction in Unit 835, the FGRU was oversupplied with process gases, resulting in diverting gases to the flare system.","PORT ARTHUR, JEFFERSON",Engineering estimates and manual calculations.,06/20/2016 3:18PM,06/21/2016 3:37PM,INTX OF HWY 366 & 32 ST,RN102457520,TOTAL PETRO CHEMICALS & REFINING USA PORT ARTHUR REFINERY,FINAL REPORT,EMISSIONS EVENT,236031
Operations personnel were able to manually start one of the compressors and route tank vapors to the LOU Flare Header / flare gas recovery unit correcting this situation.,"On June 21, 2016 at approximately 10:28 hours, while changing a pressure relief valve (PRV) on Tank 33757, the pressure on Tanks 33757 and 33799 exceeded 90% of the set pressure of the PRV on Tank 33799 and the PRV may have relieved to the atmosphere at some point between 10:28 and 11:10 hours. Out of an abundance of caution, FHR is submitting this as a reportable event.","PORT ARTHUR, JEFFERSON","Emissions estimates are based on engineering estimate, judgment, stream speciation, estimated duration, and engineering calculations. Emissions of benzene are estimated to have exceeded both a federal and state reportable quantity.Note that at the time of the Initial STEERS Report, formal emissions estimates were not available. FHR stated in the report that, “All amounts released, listed in this report, are preliminary estimates of the potential emissions. These estimates may or may not be indicative of the actual amounts or compounds released. It is likely that better emissions estimates will be provided in the Final State of Texas Environmental Electronic Reporting System (STEERS) Report.” By way of clarification, at the time of the Initial STEERS report, FHR utilized available information, engineering experience and judgment, and engineering calculations to identify the substances FHR anticipated could experience a release of an amount that might exceed an RQ.Based on information known to FHR, assuming the PRV lifted, the release could have begun on June 21, 2016 as early as approximately 10:28 hours and ended on June 21, 2016 at approximately 11:10 hours. Tank 33757 exceeded 90% of the set pressure of the PRV from 10:28 to 10:44 hours. Tank 33799 exceeded 90% of the set pressure of the PRV from 10:31 to 11:10 hours. For the purpose of this report, the duration for this event was approximately 42 minutes. The Initial STEERS Report was entered as soon as practicable, but not later than 24 hours after the discovery of an emissions event as per § 101.201(a)(1)(A). In accordance to applicable regulations and guidelines, the National Response Center (NRC), Texas State Emergency Response Commission (SERC), and the Local Emergency Planning Commission (LEPC) were notified. NRC# 1151309, 06/22/201610:13 hours; Petty Officer Merritt SERC# 20161827, 06/22/2016 10:26 hours, Chrissy",06/21/2016 10:28AM,06/21/2016 11:10AM,SAVANNAH AVENUE AT GATE 24,RN100217389,FLINT HILLS RESOURCES PORT ARTHUR FACILITY,FINAL REPORT,EMISSIONS EVENT,236076
"Upon identification of this incident, FHR initiated prompt measures to assess, minimize, and correct the upset conditions. Product was added into the tank in order to float the external floating roof and end the upset event. At approximately 3:26 PM on June 9, 2016, FHR verified that the vacuum breakers on the roof of the tank had closed, thereby stopping the release. Fence line and area monitoring was performed for VOCs, H2S, and SO2 and zero readings were recorded. The investigation for the cause of the incident is ongoing.","On June 9, 2016 at approximately 2:00 PM, Flint Hills Resources Corpus Christi, LLC (""FHR"") discovered that the four vacuum breakers on tank 15FB505 at its West Refinery had opened and released vapors to the atmosphere due to the unplanned landing of the external floating roof.","CORPUS CHRISTI, NUECES","Uncontrolled Tank landing emissions are calculated using the methodology described in the American Petroleum Institute report, Tentative Method for Determining Storage Tank Evaporative Losses from Floating Roof Landings, January 23, 2002, Robert L. Ferry, TGB Partnership. FHR initially reported potential reportable quantities for unspeciated VOCs to air. Upon further review, FHR has refined the calculations and has determined that no reportable quantities were released. *NOTE: The initial STEERS report was originally submitted via fax (during an online STEERS outage) on 6/10/16 at approximately 1:56 PM. The final STEERS report was originally submitted via fax (due to online STEERS issues) on 6/23/16.",06/09/2016 2:00PM,06/10/2016 7:30AM,,RN100235266,FHR CORPUS CHRISTI WEST PLANT,FINAL REPORT,EMISSIONS EVENT,236114
The line was nitrogen purged and isolated.,A pin hole leak of approximately 0.17 inches developed on a line in the South Tank Farm area.,"HOUSTON, HARRIS",Pinhole leak calculation was used to quantify emissions. It should be noted that STEERS was not available at the time of entering the initial event. The initial notification was done via email on 6/10/2016 at 2:24 pm. The final notification will be done after this STEERS entry.,06/09/2016 12:09PM,06/09/2016 12:19PM,,RN100219526,HOUSTON PLANT,FINAL REPORT,EMISSIONS EVENT,236172
Enterprise utilized good engineering practices and plans during the restart activities. The North Plant flare was maintained and operated during the restart activities to ensure vented hydrocarbons were properly combusted.,Enterprise restarted the BEF unit.,"MONT BELVIEU, CHAMBERS","The emissions in this report are based on measured data, engineering calculations, and TCEQ approved flare methodologies.",06/24/2016 1:00PM,06/25/2016 7:00PM,,RN102323268,ENTERPRISE MONT BELVIEU COMPLEX,FINAL REPORT,AIR STARTUP,236263
The East Flare was maintained and operated to ensure vented hydrocarbons were properly combusted.,An emission event resulted in flaring.,"MONT BELVIEU, CHAMBERS","Engineering calculations, TCEQ approved flare methodologies and measured flow were used to determine the emissions represented in this report.",06/23/2016 2:00PM,06/24/2016 6:00AM,,RN102984911,ENTERPRISE EAST,FINAL REPORT,EMISSIONS EVENT,236266
The North Plant Flare was maintained and operated to mitigate emissions. The activity did not exceed any RQs.,Maintenance being performed resulted in flaring. The activity did not exceed any RQs.,"MONT BELVIEU, CHAMBERS","The emissions in this report are based on measured data, engineering calculations, and TCEQ-approved methodologies.",06/23/2016 6:00PM,06/25/2016 6:00PM,,RN102323268,ENTERPRISE MONT BELVIEU COMPLEX,FINAL REPORT,EMISSIONS EVENT,236325
The West Flare (EPN: FL-08) was maintained and operated to mitigate emissions.,An emissions event resulted in flaring.,"MONT BELVIEU, CHAMBERS","The emissions in this report are based on measured data, engineering calculations, and TCEQ-approved methodologies.",06/25/2016 12:30PM,06/28/2016 6:30AM,,RN102984911,ENTERPRISE EAST,FINAL REPORT,EMISSIONS EVENT,236335
The lube oil pump was the cause of the incident. Once operators switched back to the original pump the unit was restarted. The pump was repaired and placed back into service.,The #2 FCCU experienced an equipment malfunction while switching lube oil pumps causing the unit to trip into shutdown. Emissions from the shutdown exceeded the reportable quantity.,"CORPUS CHRISTI, NUECES",Process data and professional judgement.,06/27/2016 8:54AM,06/27/2016 3:00PM,1802 NUECES BAY BLVD CORPUS CHRISTI TX,RN102555166,CITGO CORPUS CHRISTI REFINERY EAST PLANT,FINAL REPORT,EMISSIONS EVENT,236441
"The aeration compressors were cycled in order to minimize emissions, and the work was performed as quickly as possible. As soon as the maintenance was completed the system was purged and the RTO was restarted.",The RTO shut down for intermittent periods starting at 12:19 pm as a result of required maintenance activities on the system. The RTO was brought back online at 5:32 pm.,"OLD OCEAN, BRAZORIA",Engineering Calculations.,06/28/2016 12:19PM,06/28/2016 4:17PM,BRAZORIA & MATAGORDA COUNTIES,RN101619179,SWEENY REFINERY,FINAL REPORT,EMISSIONS EVENT,236551
Reactor was shut down and the salt was drained from the reactor into the salt tank to reduce contact of the salt with the process. The process contamination of the salt resulted in NOx generation which was emitted to atmosphere during the event.,"Mechanical failure of reactor internals contaminated heat transfer medium (eutectic salt), and caused the generation and subsequent release of NOx. The precise location of the mechanical failure within the reactor has not yet been identified. Arkema will not restart the reactor until internal inspection and repairs have been completed.","PASADENA, HARRIS","Engineering calculations using pressure, temperature, online analyses, and equipment volumeswere used to estimate the release quantities. Since the inspection of the reactor is incomplete, additional information regarding this event will be forthcoming. Arkema reserves the right to amend this submission based on findings from the ongoing equipment inspection and investigation.",06/29/2016 5:43AM,06/29/2016 2:10PM,9502B BAYPORT BLVD PASADENA TX 77507 ACRYLATES (SITE SHARED WITH CELANESE LTD CLEAR LAKE PLANT),RN104150123,CLEAR LAKE,FINAL REPORT,EMISSIONS EVENT,236589
Product flow to the tank has been stopped.,"Benzene in a shared line was flushed to a tank, causing elevated readings at the offsite benzene monitor.","TEXAS CITY, GALVESTON","Samples were collected to complete the calculation method listed in AP-42 for working and standing losses from fixed roof tanks. Based on these calculations, no reportable quantities were exceeded in any rolling 24 hour timeframe.",06/24/2016 1:30PM,06/30/2016 8:45AM,,RN100210608,MARATHON PETROLEUM TEXAS CITY REFINERY,FINAL REPORT,EMISSIONS EVENT,236612
"Plant personnel (operations and maintenance) worked together to accomplish this task as quickly as possible in order to limit the intensity and duration of the opacity event. The process unit was continuously monitored thereby ensuring that all process variables remained within their normal ranges as the rapping progressed. The duration of this event was minimized to the extent practicable, with consideration given to both safety and environmental concerns.","On July 5, 2016 plant electricians operated the rappers associated with the electrostatic precipitator (EP) at Unit 27.1. This was performed to improve the ability of the EP in its capability to collect particulates leaving the Regenerator via the stack. Rapping of the EPs allows the control device to operate with greater efficiency. This work began at approximately 7:00 am . The operation of the rappers was expected to increase the opacity above the limit allowed limit of 20%, however the highest concentration observed by the COMS was 15%, which is well below the limit established under 30 TAC 111.111.","OLD OCEAN, BRAZORIA","COMS and Engineering estimates.THIS WAS A PLANNED MAINTENANCE EVENT. NOT AN EMISSIONS EVENT AS STATED IN THE ""EVENT/ACTIVITY TYPE"" BOX ABOVE.",07/05/2016 7:00AM,07/05/2016 7:00PM,BRAZORIA & MATAGORDA COUNTIES,RN101619179,SWEENY REFINERY,FINAL REPORT,MAINTENANCE,236623
"Enterprise recovered as much hydrocarbon as possible from process vessels, equipment, and piping prior to clearing with nitrogen to the flare. The flare was maintained and operated to ensure good combustion of the remaining hydrocarbons.",Enterprise performed maintenance in the Splitter I Unit.,"MONT BELVIEU, CHAMBERS","The emissions in this report are based on measured data, engineering calculations, and TCEQ approved flare methodologies.",07/02/2016 7:00PM,07/10/2016 8:00PM,,RN102323268,ENTERPRISE MONT BELVIEU COMPLEX,FINAL REPORT,MAINTENANCE,236765
The facility took immediate actions to stop the loss of containment and minimize emissions.,"After further review, the Motiva Port Arthur Refinery determined that the emissions from this event were below the reportable quantity. As a result, this event is identified as non-reportable.","PORT ARTHUR, JEFFERSON",Process engineering calculations.,07/01/2016 3:09PM,07/02/2016 7:09AM,,RN100209451,PORT ARTHUR REFINERY,FINAL REPORT,EMISSIONS EVENT,236780
"The emergency response team targeted firewater at the gasket to minimize the risk of flammability. The gasket was isolated from the process to stop the leak, and the back up unit was utilized. The gasket will be replaced at the next available opportunity.",A leak was discovered from the 4D5 bottoms strainer.,"HOUSTON, HARRIS",Pinhole leak calculation was used to quantify emissions.,07/03/2016 7:50PM,07/03/2016 8:15PM,,RN100219526,HOUSTON PLANT,FINAL REPORT,EMISSIONS EVENT,236782
The reactor (VR-401E) was shutdown for repairs.,"A pin hole leak was discovered at the valve body at VP-402J (VR-401E system). To satisfy the demonstration requirements of 30 TAC 101.222(b), FPC-TX provides the following: (1)The owner or operator complied with the requirements of §101.201 of this title (relating to Emissions Event Reporting and Recordkeeping Requirements). (2) The unauthorized emissions were caused by a sudden, unavoidable breakdown of equipment or process, beyond the control of the owner or operator. (3)FPC-TX contends that the emission event could not have been foreseen, avoided, or planned for. In additions the event could not have been avoided by better operation, maintenance practices, or technically feasible design consistent with good engineering practice. (4)Air pollution control equipment was maintained and operated in a manner consistent with good practice for minimizing emissions and reducing the number of emissions events. (5)Prompt action was taken to achieve compliance once the operator knew or should have known that applicable emission limitations were being exceeded and any necessary repairs were made as expeditiously as practicable. (6) FPC-TX took all possible steps to minimize the amount and duration of the unauthorized emissions. There were no bypasses of pollution control equipment. (7)All emission monitoring systems were kept in operation. (8)FPC-TX actions in response to the unauthorized emissions were documented by contemporaneous operation logs or other relevant evidence. (9)The unauthorized emissions were not part of a frequent or recurring pattern indicative of inadequate design, operation, or maintenance. (10)The percentage of a facility's total annual operating hours during which unauthorized emissions occurred was not unreasonably high. (11)The unauthorized emissions did not cause or contribute to an exceedance of the national ambient air quality standards (NAAQS), prevention of significant deterioration (PSD) increments, or to a condition of air pollution.","POINT COMFORT, CALHOUN",Engineering calculations.,07/08/2016 10:20AM,07/08/2016 10:33AM,PLANT LOCATED NE OF INTX OF FM 1593 AND HWY 35,RN100218973,FORMOSA POINT COMFORT PLANT,FINAL REPORT,EMISSIONS EVENT,237154
The flame was reestablished as soon as possible and normal operations returned.,"The flame was lost on the Complex 8Q #2 Reformer Flare during a period of high winds, resulting in VOC emissions.","CORPUS CHRISTI, NUECES",Engineering calculations based on data from the units.,07/07/2016 6:50PM,07/08/2016 1:20AM,1300 CANTWELL LANE,RN100211663,VALERO CORPUS CHRISTI REFINERY EAST PLANT,FINAL REPORT,EMISSIONS EVENT,237167
"Unit 835 was shut down, the problem was isolated a repaired, and the unit was restarted.","The Port Arthur Refinery is equipped with a Flare Gas Recovery System to reduce flaring emissions. Due to a malfunction at Unit 835, the Flare Gas Recovery System was overwhelmed and sent process gases to the flares.","PORT ARTHUR, JEFFERSON",Engineering estimates.,06/08/2016 9:00AM,06/09/2016 9:00AM,INTX OF HWY 366 & 32 ST,RN102457520,TOTAL PETRO CHEMICALS & REFINING USA PORT ARTHUR REFINERY,FINAL REPORT,EMISSIONS EVENT,237195
Flares were used to minimize emissions.,A process upset resulted in flaring. Increased filter differential pressure lead to a reduction in flow and resulted in a plant trip.,"FREEPORT, BRAZORIA","Flow meters, analyzers and AP-42 calculations.",07/11/2016 7:10AM,07/12/2016 12:11PM,,RN100225945,DOW TEXAS OPERATIONS FREEPORT,FINAL REPORT,EMISSIONS EVENT,237271
The error was adjusted and opacity emissions decreased within permit limits.,The #1 FCCU experienced opacity emissions for one six minute average due to an incorrect set point adjustment on the console.,"CORPUS CHRISTI, NUECES",Process data and professional judgement.,07/12/2016 7:18AM,07/12/2016 7:24AM,1802 NUECES BAY BLVD CORPUS CHRISTI TX,RN102555166,CITGO CORPUS CHRISTI REFINERY EAST PLANT,FINAL REPORT,EMISSIONS EVENT,237596
Followed standard procedures to minimize flaring and reduce vessel headspace pressure,"Unit 22 experienced unplanned flaring from Flare 10 and Flare 12 due to a malfunction with the propylene compressor in Unit 22. In addition, a relief Valve (93-127)opened to atmosphere.","OLD OCEAN, BRAZORIA",Flaring emissions are calculated using data from the flow meter and continuous gas analyzer serving Flare 10 and Flare 12. Benzene flaring emissions were estimated from engineering calculations.,07/12/2016 4:45PM,07/13/2016 1:30PM,,RN100825249,CHEVRON PHILLIPS CHEMICAL SWEENY OLD OCEAN FACILITIES,FINAL REPORT,EMISSIONS EVENT,238554
The North Plant Flare (45) was maintained and operated to mitigate emissions.,An emissions event occurred resulted in flaring.,"MONT BELVIEU, CHAMBERS","The emissions in this report are based on measured data, engineering calculations, and TCEQ-approved methodologies.",07/14/2016 10:45AM,07/15/2016 11:00AM,,RN102323268,ENTERPRISE MONT BELVIEU COMPLEX,FINAL REPORT,EMISSIONS EVENT,238752
Reduced charge rate at unit in order to allow the leaking exchanger to be isolated. Re-started unit according to procedure to minimize emissions.,Reduced charge rate to the FCC Unit due to a leak on an exchanger. Re-start of the unit resulted in flaring and particulate emissions.,"PASADENA, HARRIS","Engineering estimates for the ESP stack and seal pot stack emissions and emissions calculations using flare flow measurements, and analyzer data for the flare emissions. PM from the ESP stack and Seal Pot stack exceeded the RQ of 100 pounds for unlisted compounds. SO2 emissions from the west flare exceeded the RQ of 500 pounds.",07/16/2016 9:00PM,07/17/2016 6:40AM,111 RED BLUFF RD,RN100716661,PASADENA REFINING SYSTEM,FINAL REPORT,EMISSIONS EVENT,239044
Process stream was routed to the flare to minimize emissions. All contractual commitments are anticipated to be met.,A gas compressor shutdown.,"BEAUMONT, JEFFERSON",Emissions calculations based on engineering estimates.,07/17/2016 7:26PM,07/17/2016 7:46PM,,RN102450756,EXXONMOBIL BEAUMONT REFINERY,FINAL REPORT,EMISSIONS EVENT,239221
"The oil feed was removed from the process unit to bring the flaring to an end. Torch oil was started to the process unit thereby allowing operations the ability to control the temperature of the regenerator and facilitate a faster restart of the unit once repairs were made to the level transmitter on the steam knock out drum.Much of the hydrocarbon gases from the overhead line of Unit 3’s Fractionator which were directed to the consolidated flare system were picked up by the Flare Gas Recovery compressor and returned to the refinery via Unit 26.2, Hydrogen Purification Unit.","4-C-100 Compressor tripped off line due to a false high level in 4-D-153. This vessel is the steam knock out drum, prior to the steam entering the turbine driver for the compressor. The high level informed the compressor the level of liquid condensate within the knock out drum could possibly enter the compressors steam turbine and cause a catastrophic failure. The shutdown function on the level transmitter sent a signal and shutdown the compressor turbine, tripping the compressor off-line. With the sudden halt of processing of Unit 3’s Fractionator overhead gas stream, this stream was automatically directed to the consolidated flare system. The console operator received the Compressor Common Trouble alarm and the high level shutdown alarm at the same time. The float on Level Alarm (LA5527) was lifted at one point and hung up in the tripped position but no liquid was present when operations check the bleeder valves on the drum. This confirmed that level switch LS5527 was providing a false high level to the compressor shutdown logic system.","OLD OCEAN, BRAZORIA",CEMS,07/19/2016 12:51AM,07/19/2016 8:51AM,BRAZORIA & MATAGORDA COUNTIES,RN101619179,SWEENY REFINERY,FINAL REPORT,EMISSIONS EVENT,239312
Plant technicians proceeded through start-up using start-up procedures. Flares were used to minimize emissions.,Plant start-up.,"FREEPORT, BRAZORIA",Process knowledge and emissions calculations from previous start-up.,08/02/2016 9:17AM,08/06/2016,,RN100225945,DOW TEXAS OPERATIONS FREEPORT,FINAL REPORT,AIR STARTUP,239314
Instrument air was regained and operations personnel began the task of normalizing operations.,"During normal operations, a loss in instrument air caused an interuption of unit operation, which lead to flaring in multiple units.","PORT NECHES, JEFFERSON",Emissions based on engineering estimations. NRC #1153861 Taliaferr 17:23 7/19 TCEQ Notified via Phone Call 16:54 (Judy Granger Region 10) 7/19,07/19/2016 4:30PM,07/21/2016 4:30PM,,RN100219252,HUNTSMAN PORT NECHES,FINAL REPORT,EMISSIONS EVENT,239362
The rupture disc was isolated and replaced.,"During startup of the SRU, a rupture disc failed below the pressure set point. This resulted in SO2 emissions from the incinerator. Final calculations show emissions below a reportable quantity.","CORPUS CHRISTI, NUECES",Process data and professional judgement.,07/20/2016 12:56PM,07/20/2016 4:00PM,1802 NUECES BAY BLVD CORPUS CHRISTI TX,RN102555166,CITGO CORPUS CHRISTI REFINERY EAST PLANT,FINAL REPORT,EMISSIONS EVENT,239430
"The Port Arthur Refinery sounded loss of contaminant, isolated the leaking line, damned the ditch, vacuumed the spilled product, and installed a clamp on the pipe.","An 8 inch pipeline with naphtha product developed a leak, due to internal corrosion. The pipeline is located inside the Port Arthur Refinery, and no product went to the state waters of Texas.","PORT ARTHUR, JEFFERSON",Emissions are based on engineering estimates.,07/23/2016 2:10PM,07/23/2016 3:35PM,INTX OF HWY 366 & 32 ST,RN102457520,TOTAL PETRO CHEMICALS & REFINING USA PORT ARTHUR REFINERY,FINAL REPORT,EMISSIONS EVENT,239533
Standard malfunction procedures were followed to minimize emissions to the flare during the upset.,Loss of Cooling Tower 17 pump resulted in loss of cooling to Unit 33. This caused pressure to build up within the unit and release to Flare 22.,"OLD OCEAN, BRAZORIA","Emissions estimates are based on data gathered from continuous flare gas composition analyzers, flow meters and engineering calculations.",07/24/2016 11:00AM,07/26/2016 2:00AM,,RN100825249,CHEVRON PHILLIPS CHEMICAL SWEENY OLD OCEAN FACILITIES,FINAL REPORT,EMISSIONS EVENT,239627
Vacuum truck was utilized to remove material from the tank firewall.,"On Sunday, July 24, 2016 at approximately 16:00 hours, a leak from a roof drain on Tank TA344 was discovered. Further observations led to the discovery of hydrocarbons on the roof of the tank and in the firewall. Revised emission calculations showed no reportable quantities were exceeded during this emission event. Total air emissions from the spill are as fellows: Methane-1.7 lbs, propane- 9 lbs, isobutane-3.64 lbs,n-butane - 16.98 lbs, isopentane - 14.85 lbs, n-pentane- 31.09 lbs, cyclopentane- 2.57 lbs, n-hexane- 64.94 lbs, methylcyclopentane- 15.56 lbs, benzene - 7.59 lbs, cyclohexane - 12.37 lbs, C6 isoparaffins - 30.52 lbs and toluene - 48.88 lbs. Based on the information known at the time of this initial report, Shell is not aware of any confirming information that would indicate that the affirmative defense criteria could not be met for this emission event. However, because the investigation of the emission event has not yet been completed, Shell's ""Yes"" response to the question was required for the purposes of completing and submitting this final report in a timely manner. Additional information regarding the basis for Shell's response to the affirmative defense question may be provided upon request when available.","DEER PARK, HARRIS",Emissions were determined with process data and engineering calculations.,07/24/2016 4:00PM,07/25/2016 2:38PM,,RN100211879,SHELL OIL DEER PARK,FINAL REPORT,EMISSIONS EVENT,239743
"Enterprise recovered as much hydrocarbon as possible from process vessels, equipment, and piping prior to clearing with nitrogen to the flare. The flare was maintained and operated to ensure good combustion of the remaining hydrocarbons.",Enterprise performed maintenance (moleseive change out) in the Splitter III unit.,"MONT BELVIEU, CHAMBERS","The emissions in this report are based on measured data, engineering calculations, and TCEQ approved flare methodologies.",08/01/2016 6:00AM,08/07/2016 11:00AM,,RN102984911,ENTERPRISE EAST,FINAL REPORT,MAINTENANCE,239781
"Immediate shutdown of affected operating units, returned plant steam and air on line as quickly and safely as possible.","At approximately 14:54, a lightning strike to the external high voltage feeder to the refinery disrupted facility utilities, resulting in an emergency shutdown of refinery units. Excess emissions resulted from venting and flaring during the shutdown.","PASADENA, HARRIS",Engineering estimates.,07/25/2016 2:54PM,07/31/2016 11:59PM,111 RED BLUFF RD,RN100716661,PASADENA REFINING SYSTEM,FINAL REPORT,EMISSIONS EVENT,239873
"Operations quickly started shifting acid gas/sour water gas to the operating unit. Unit 875 implemented acid gas shedding procedures throughout the Port Arthur Refinery. The Electricians replaced the blown fuse and closed 34 Main-52-2, restoring full power to the unit.",Unit 875/Unit 881/Unit 886 tripped due to a sudden loss of electrical power. The cause of the trip was a blown fuse on the “A” phase of 34 Main-52-2 which feeds several load centers.,"PORT ARTHUR, JEFFERSON",Engineering estimates and calculations.,07/26/2016 7:54PM,07/26/2016 11:45PM,INTX OF HWY 366 & 32 ST,RN102457520,TOTAL PETRO CHEMICALS & REFINING USA PORT ARTHUR REFINERY,FINAL REPORT,EMISSIONS EVENT,240056
Follow start up procedures to minimize emissions.,Planned unit start up after unplanned shutdown.,"PASADENA, HARRIS",Estimates based on best engineering estimate calculations for the Seal Pot Stack and ESP. Flare flow measurements and analyzer data used for flare emissions calculations.,08/01/2016,08/02/2016 12:01AM,111 RED BLUFF RD,RN100716661,PASADENA REFINING SYSTEM,FINAL REPORT,AIR STARTUP,240173
No emissions over permit limit.,No emissions over permit limit.,"FREEPORT, BRAZORIA",No emissions over permit limit.,08/09/2016,08/09/2016 12:01AM,,RN100225945,DOW TEXAS OPERATIONS FREEPORT,FINAL REPORT,MAINTENANCE,240334
Plant rates and flares were used to minimize emissions.,Process equipment tripped due to a loose instrument connection. Flaring of off-gas occurred until equipment was restarted.,"FREEPORT, BRAZORIA","Flare Flow meters, Flare analyzers and AP-42 calculations.",07/28/2016 10:00PM,07/29/2016 2:00PM,,RN100225945,DOW TEXAS OPERATIONS FREEPORT,FINAL REPORT,EMISSIONS EVENT,240336
The flare flame was reestablished as soon as possible and normal operations returned.,The flame was lost on the Complex 8Q #2 Reformer Flare during a period when a process unit was being shut down. The loss of flare flame resulted in VOC emissions.,"CORPUS CHRISTI, NUECES",Engineering emissions calculations were based on a process flare inlet gas chromatograph and flow metering data.,08/01/2016 7:55PM,08/01/2016 11:40PM,1300 CANTWELL LANE,RN100211663,VALERO CORPUS CHRISTI REFINERY EAST PLANT,FINAL REPORT,EMISSIONS EVENT,240537
The North Plant Flare (45) was maintained and operated to mitigate emissions.,Maintenance was conducted at the Splitter IV KOH treater which resulted in flaring.,"MONT BELVIEU, CHAMBERS","The emissions in this report are based on measured data, engineering calculations, and TCEQ-approved methodologies.",08/01/2016 6:00PM,08/02/2016 5:00AM,,RN102323268,ENTERPRISE MONT BELVIEU COMPLEX,FINAL REPORT,EMISSIONS EVENT,240564
